Sample,01_Glycolysis,Phosphoenolpyruvic_acid,L-Lactic_acid,3-Phosphoglyceric_acid,Dihydroxyacetone_phosphate,"Fructose 1,6-bisphosphate",Hexose,Hexose-phosphate,Pyruvic_acid,02_Krebs Cycle,Fumaric_acid,Citric_acid,L-Malic_acid,Oxoglutaric_acid,03_Amino Acids,Glycine,L-Alanine,L-Serine,09_Others,Glycerol_3-phosphate,10_CoA,Acetyl-CoA
Sample01,,13758219.94,8830000236,47898547.52,587094897.1,1432014618,3066444984,912989140,573115645.3,,49133204.5,1337600548,1525924976,294834378,,289071936.5,122173042.4,125414572,,1010111580,,22728434.02
Sample02,,14613601.88,7817946048,53418136.37,582726313.6,1620023458,2785774511,998200736,456100631,,39724744.25,1347144476,1161871248,318666546,,265285369,127419543.1,127233446,,1220229318,,26697567.59
Sample03,,10292417.19,8243435448,39688819.7,760563526.6,1764822908,3017741656,1090547199,570044865,,44629593,1392041936,1248378904,280601292,,268224757,121968515.8,142251069,,1050465513,,28748619.33
Sample04,,24365238,9094283301,77522603.21,546767341.5,1970822174,2991374715,1300700303,735953496.8,,362734289.2,4091178708,14700080541,698358534.1,,198488884,229287998,99185773.25,,1308733370,,49353175.46
Sample05,,9240457,2303095464,37103665,38228619.46,58012875.71,3700560476,396473571,683215433,,116716553.3,1351135623,4235351756,118725868.8,,149566241.8,98035076.5,107494933,,257170662.8,,12606072.99
Sample06,,10201780.62,1954760020,44464608.09,45758034.79,49741233.76,3026826417,434477722.5,505688129,,124429078.4,1330329611,5051671472,121139403.7,,156786572.8,116132542,109417761,,295898459,,15285454.03
Sample07,,11207332,2033995056,45631468.36,51179699.55,46834452.3,3178962373,476349605,506349068,,124664962.6,1390085367,5252724240,118054413.1,,160907746,113690040,114281339,,296885353.5,,15251397.8
Sample08,,11851675,1892028590,45547886.91,57355307.13,50472522.8,3496516202,477762429.7,426315588.9,,123948798.5,1395446108,5394275144,141055395.5,,189549344.8,111028766.8,140733201,,303156838.3,,19269667.8
Sample09,,5551253.5,8816579904,26387118.28,111408959,798737817.6,3097191445,511877177.3,143127944.5,,28496243.88,0,933879231.6,124548906,,110524712.1,68350589.81,183839325.4,,10017175896,,3294576.54
Sample10,,4065125.72,7783360680,28912806.53,90442872.13,757331487.6,2746543594,483705112,119611909.6,,25116138.31,0,840964237.9,107540878.7,,88095916.69,61068534.69,193466479.1,,10966121776,,3053618.58
Sample11,,5439468,7104541512,27046333.81,113591635,950452918.3,2612879295,557051558.5,115960887.9,,27792885.12,0,927251521,98911997.17,,94061635.12,69370616.75,196851600.6,,11453735312,,3430341.92
Sample12,,5006468,6657716398,21916018.08,104133285.1,789807975.2,2762480001,465994547.9,88479097.38,,23819709.94,0,812551251.7,89464434.6,,79808499,51122526.88,176291222.5,,10510438919,,3891765.7
Sample13,,0,5115710228,0,0,0,785624862.4,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample14,,0,4819665044,0,0,0,712564195.3,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample15,,0,3348531316,0,0,0,416764449.8,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample16,,0,2983301982,0,0,0,309203237.3,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample17,,0,594306080.8,0,0,0,1142821111,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample18,,0,708896279.6,0,0,0,657200602.8,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample19,,0,1101681222,0,0,0,480222558.4,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample20,,0,1236083934,0,0,0,552282209.1,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample21,,0,1399445602,0,0,0,690455346.4,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample22,,0,1102638921,0,0,0,885621222.2,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample23,,0,627445375.6,0,0,0,2081864428,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample24,,0,952149716.7,0,0,0,1049869013,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample25,,0,5748810446,0,0,0,1066887254,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample26,,0,2637254186,0,0,0,525772413,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample27,,0,3514624020,0,0,0,588862863.6,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample28,,0,3167163338,0,0,0,718539471.6,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample29,,0,760708157.4,0,0,0,1127217799,0,0,,0,0,0,0,,0,0,0,,0,,0
Sample30,,0,615711538.5,0,0,0,1486346642,0,0,,0,0,0,0,,0,0,0,,0,,0
