Sample,01_Glycolysis,L-Lactic acid,Pyruvic acid,02_Krebs Cycle,Citric acid,Oxoglutaric acid,Succinic acid,03_Amino Acids,L-Alanine,L-Asparagine,L-Glutamic acid,L-Glutamine,L-Aspartic acid
Sample01,,1.13E+09,2.75E+07,,7.38E+08,1.25E+07,6.54E+07,,3.90E+05,5.59E+04,1.59E+07,1.31E+06,7.61E+06
Sample02,,1.05E+09,5.56E+07,,5.84E+08,1.44E+07,6.53E+07,,4.82E+05,1.09E+05,3.45E+07,2.54E+06,1.82E+07
Sample03,,8.32E+08,5.15E+07,,4.27E+08,1.24E+07,5.36E+07,,2.93E+05,1.63E+05,3.41E+07,2.41E+06,1.65E+07
Sample04,,1.11E+09,1.01E+08,,8.50E+08,1.78E+07,6.64E+07,,5.93E+05,3.20E+05,6.75E+07,4.63E+06,3.40E+07
Sample05,,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sample06,,4.92E+10,5.47E+08,,8.58E+09,2.50E+08,6.38E+08,,8.90E+07,2.62E+07,3.01E+08,4.77E+08,2.21E+08
Sample07,,3.08E+10,2.49E+08,,2.02E+09,1.77E+08,2.88E+08,,1.03E+08,3.37E+07,3.56E+08,4.06E+08,5.50E+08
Sample08,,5.86E+10,1.43E+09,,2.99E+09,2.23E+08,1.57E+08,,6.02E+07,2.97E+07,1.36E+08,6.54E+08,7.36E+07
Sample09,,6.95E+10,4.32E+08,,4.54E+09,3.16E+08,1.43E+09,,1.69E+08,5.34E+06,3.54E+08,3.93E+08,3.28E+08
Sample10,,3.75E+10,1.28E+09,,2.57E+09,2.16E+08,1.12E+08,,3.66E+07,1.53E+07,7.08E+07,5.01E+08,2.61E+07
